title,link,original,sale,discount,currency,date,time
borderlands 3,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_2300_150_1,79.99,39.99,50,CDN,2020-04-25,14:28
xcom® 2,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_2300_150_1,79.99,19.99,75,CDN,2020-04-25,14:28
xcom®: chimera squad,https://store.steampowered.com/app/882100/XCOM_Chimera_Squad/?snr=1_7_7_2300_150_1,29.99,14.99,50,CDN,2020-04-25,14:28
final fantasy xii the zodiac age,https://store.steampowered.com/app/595520/FINAL_FANTASY_XII_THE_ZODIAC_AGE/?snr=1_7_7_2300_150_1,66.99,33.49,50,CDN,2020-04-25,14:28
project winter,https://store.steampowered.com/app/774861/Project_Winter/?snr=1_7_7_2300_150_1,22.79,7.97,65,CDN,2020-04-25,14:28
playerunknown's battlegrounds,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_2300_150_1,36.99,18.49,50,CDN,2020-04-25,14:28
disco elysium,https://store.steampowered.com/app/632470/Disco_Elysium/?snr=1_7_7_2300_150_1,45.49,34.11,25,CDN,2020-04-25,14:28
il-2 sturmovik: battle of stalingrad,https://store.steampowered.com/app/307960/IL2_Sturmovik_Battle_of_Stalingrad/?snr=1_7_7_2300_150_1,65.99,16.49,75,CDN,2020-04-25,14:28
northgard,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_2300_150_1,33.99,16.99,50,CDN,2020-04-25,14:28
the stanley parable,https://store.steampowered.com/app/221910/The_Stanley_Parable/?snr=1_7_7_2300_150_1,16.99,2.55,85,CDN,2020-04-25,14:28
iratus: lord of the dead,https://store.steampowered.com/app/807120/Iratus_Lord_of_the_Dead/?snr=1_7_7_2300_150_1,27.99,18.47,34,CDN,2020-04-25,14:28
borderlands 2,https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_2300_150_1,21.99,5.49,75,CDN,2020-04-25,14:28
frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_2300_150_1,33.99,13.60,60,CDN,2020-04-25,14:28
marvel vs. capcom: infinite,https://store.steampowered.com/app/493840/Marvel_vs_Capcom_Infinite/?snr=1_7_7_2300_150_1,49.99,12.50,75,CDN,2020-04-25,14:28
cloudpunk,https://store.steampowered.com/app/746850/Cloudpunk/?snr=1_7_7_2300_150_1,21.99,19.79,10,CDN,2020-04-25,14:28
barotrauma,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_2300_150_1,38.99,23.39,40,CDN,2020-04-25,14:28
post scriptum,https://store.steampowered.com/app/736220/Post_Scriptum/?snr=1_7_7_2300_150_1,38.00,28.50,25,CDN,2020-04-25,14:28
rocksmith® 2014 edition - remastered,https://store.steampowered.com/app/221680/Rocksmith_2014_Edition__Remastered/?snr=1_7_7_2300_150_1,39.99,11.99,70,CDN,2020-04-25,14:28
sunless skies,https://store.steampowered.com/app/596970/SUNLESS_SKIES/?snr=1_7_7_2300_150_1,27.99,13.99,50,CDN,2020-04-25,14:28
112 operator,https://store.steampowered.com/app/793460/112_Operator/?snr=1_7_7_2300_150_1,28.99,24.64,15,CDN,2020-04-25,14:28
troubleshooter: abandoned children,https://store.steampowered.com/app/470310/TROUBLESHOOTER_Abandoned_Children/?snr=1_7_7_2300_150_1,29.99,23.99,20,CDN,2020-04-25,14:28
dragon marked for death,https://store.steampowered.com/app/1149440/Dragon_Marked_For_Death/?snr=1_7_7_2300_150_1,49.99,39.99,20,CDN,2020-04-25,14:28
shadow tactics: blades of the shogun,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_2300_150_1,43.99,10.99,75,CDN,2020-04-25,14:28
xcom: enemy unknown,https://store.steampowered.com/app/200510/XCOM_Enemy_Unknown/?snr=1_7_7_2300_150_1,32.99,8.24,75,CDN,2020-04-25,14:28
battle brothers,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_2300_150_1,32.99,16.49,50,CDN,2020-04-25,14:28
what remains of edith finch,https://store.steampowered.com/app/501300/What_Remains_of_Edith_Finch/?snr=1_7_7_2300_150_2,21.99,8.79,60,CDN,2020-04-25,14:28
trine 4: the nightmare prince,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/?snr=1_7_7_2300_150_2,39.99,15.99,60,CDN,2020-04-25,14:28
ultimate marvel vs. capcom 3,https://store.steampowered.com/app/357190/ULTIMATE_MARVEL_VS_CAPCOM_3/?snr=1_7_7_2300_150_2,32.99,9.90,70,CDN,2020-04-25,14:28
borderlands: the pre-sequel,https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/?snr=1_7_7_2300_150_2,39.99,11.99,70,CDN,2020-04-25,14:28
borderlands game of the year,https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/?snr=1_7_7_2300_150_2,32.99,10.89,67,CDN,2020-04-25,14:28
super neptunia rpg,https://store.steampowered.com/app/1016960/Super_Neptunia_RPG/?snr=1_7_7_2300_150_2,56.99,22.79,60,CDN,2020-04-25,14:28
witch it,https://store.steampowered.com/app/559650/Witch_It/?snr=1_7_7_2300_150_2,16.99,8.49,50,CDN,2020-04-25,14:28
unrailed!,https://store.steampowered.com/app/1016920/Unrailed/?snr=1_7_7_2300_150_2,22.99,17.24,25,CDN,2020-04-25,14:28
ashen,https://store.steampowered.com/app/649950/Ashen/?snr=1_7_7_2300_150_2,45.49,27.29,40,CDN,2020-04-25,14:28
hyperdimension neptunia re;birth1,https://store.steampowered.com/app/282900/Hyperdimension_Neptunia_ReBirth1/?snr=1_7_7_2300_150_2,17.49,6.99,60,CDN,2020-04-25,14:28
street fighter v,https://store.steampowered.com/app/310950/Street_Fighter_V/?snr=1_7_7_2300_150_2,24.99,9.99,60,CDN,2020-04-25,14:28
monster prom,https://store.steampowered.com/app/743450/Monster_Prom/?snr=1_7_7_2300_150_2,13.49,5.39,60,CDN,2020-04-25,14:28
sayonara wild hearts,https://store.steampowered.com/app/1122720/Sayonara_Wild_Hearts/?snr=1_7_7_2300_150_2,14.49,10.86,25,CDN,2020-04-25,14:28
borderlands 2 game of the year,https://store.steampowered.com/sub/32848/?snr=1_7_7_2300_150_2,43.99,9.67,78,CDN,2020-04-25,14:28
sunless sea,https://store.steampowered.com/app/304650/SUNLESS_SEA/?snr=1_7_7_2300_150_2,20.99,7.13,66,CDN,2020-04-25,14:28
unheard,https://store.steampowered.com/app/942970/Unheard/?snr=1_7_7_2300_150_2,11.49,6.89,40,CDN,2020-04-25,14:28
donut county,https://store.steampowered.com/app/702670/Donut_County/?snr=1_7_7_2300_150_2,14.49,7.24,50,CDN,2020-04-25,14:28
megadimension neptunia vii,https://store.steampowered.com/app/460120/Megadimension_Neptunia_VII/?snr=1_7_7_2300_150_2,22.79,11.39,50,CDN,2020-04-25,14:28
megadimension neptunia viir,https://store.steampowered.com/app/774511/Megadimension_Neptunia_VIIR/?snr=1_7_7_2300_150_2,33.99,13.59,60,CDN,2020-04-25,14:28
warhammer underworlds: online,https://store.steampowered.com/app/1022310/Warhammer_Underworlds_Online/?snr=1_7_7_2300_150_2,33.99,27.19,20,CDN,2020-04-25,14:28
cyberdimension neptunia: 4 goddesses online,https://store.steampowered.com/app/632350/Cyberdimension_Neptunia_4_Goddesses_Online/?snr=1_7_7_2300_150_2,33.99,13.59,60,CDN,2020-04-25,14:28
fishing: barents sea,https://store.steampowered.com/app/501080/Fishing_Barents_Sea/?snr=1_7_7_2300_150_2,30.49,15.24,50,CDN,2020-04-25,14:28
harvest moon: light of hope special edition,https://store.steampowered.com/app/585900/Harvest_Moon_Light_of_Hope_Special_Edition/?snr=1_7_7_2300_150_2,22.79,11.39,50,CDN,2020-04-25,14:28
hyperdimension neptunia re;birth2: sisters generation,https://store.steampowered.com/app/351710/Hyperdimension_Neptunia_ReBirth2_Sisters_Generation/?snr=1_7_7_2300_150_2,17.49,6.99,60,CDN,2020-04-25,14:28
eastshade,https://store.steampowered.com/app/715560/Eastshade/?snr=1_7_7_2300_150_2,28.99,14.49,50,CDN,2020-04-25,14:28
hyper light drifter,https://store.steampowered.com/app/257850/Hyper_Light_Drifter/?snr=1_7_7_2300_150_3,21.99,10.99,50,CDN,2020-04-25,14:28
hyperdimension neptunia re;birth3 v generation,https://store.steampowered.com/app/353270/Hyperdimension_Neptunia_ReBirth3_V_Generation/?snr=1_7_7_2300_150_3,17.49,6.99,60,CDN,2020-04-25,14:28
911 operator,https://store.steampowered.com/app/503560/911_Operator/?snr=1_7_7_2300_150_3,16.99,1.69,90,CDN,2020-04-25,14:28
fell seal: arbiter's mark,https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/?snr=1_7_7_2300_150_3,33.99,11.55,66,CDN,2020-04-25,14:28
ride 3,https://store.steampowered.com/app/759740/RIDE_3/?snr=1_7_7_2300_150_3,56.99,17.09,70,CDN,2020-04-25,14:28
gorogoa,https://store.steampowered.com/app/557600/Gorogoa/?snr=1_7_7_2300_150_3,17.49,8.74,50,CDN,2020-04-25,14:28
kingdom under fire: the crusaders,https://store.steampowered.com/app/1121420/Kingdom_Under_Fire_The_Crusaders/?snr=1_7_7_2300_150_3,19.99,13.99,30,CDN,2020-04-25,14:28
yes\, your grace,https://store.steampowered.com/app/1115690/Yes_Your_Grace/?snr=1_7_7_2300_150_3,22.79,20.51,10,CDN,2020-04-25,14:28
not tonight,https://store.steampowered.com/app/733790/Not_Tonight/?snr=1_7_7_2300_150_3,22.79,13.67,40,CDN,2020-04-25,14:28
ultimate fishing simulator,https://store.steampowered.com/app/468920/Ultimate_Fishing_Simulator/?snr=1_7_7_2300_150_3,21.99,10.99,50,CDN,2020-04-25,14:28
borderlands 2 vr,https://store.steampowered.com/app/991260/Borderlands_2_VR/?snr=1_7_7_2300_150_3,66.99,33.49,50,CDN,2020-04-25,14:28
ken follett's the pillars of the earth,https://store.steampowered.com/app/234270/Ken_Folletts_The_Pillars_of_the_Earth/?snr=1_7_7_2300_150_3,43.99,8.79,80,CDN,2020-04-25,14:28
cooking simulator,https://store.steampowered.com/app/641320/Cooking_Simulator/?snr=1_7_7_2300_150_3,22.79,15.95,30,CDN,2020-04-25,14:28
heaven's vault,https://store.steampowered.com/app/774201/Heavens_Vault/?snr=1_7_7_2300_150_3,28.99,17.39,40,CDN,2020-04-25,14:28
telling lies,https://store.steampowered.com/app/762830/Telling_Lies/?snr=1_7_7_2300_150_3,22.79,13.67,40,CDN,2020-04-25,14:28
do not feed the monkeys,https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/?snr=1_7_7_2300_150_3,12.99,4.54,65,CDN,2020-04-25,14:28
