title,link,original,sale,discount,currency,date,time
Alien: Isolation,https://store.steampowered.com/app/214490/Alien_Isolation/?snr=1_7_7_2300_150_1,43.99,2.20,95,CDN,2020-04-27,23:33
Borderlands 3,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_2300_150_1,79.99,39.99,50,CDN,2020-04-27,23:33
XCOM® 2,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_2300_150_1,79.99,19.99,75,CDN,2020-04-27,23:33
Total War™: ROME II - Emperor Edition,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_2300_150_1,71.99,17.99,75,CDN,2020-04-27,23:33
XCOM®: Chimera Squad,https://store.steampowered.com/app/882100/XCOM_Chimera_Squad/?snr=1_7_7_2300_150_1,29.99,14.99,50,CDN,2020-04-27,23:33
MORDHAU,https://store.steampowered.com/app/629760/MORDHAU/?snr=1_7_7_2300_150_1,33.99,22.77,33,CDN,2020-04-27,23:33
PLAYERUNKNOWN'S BATTLEGROUNDS,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_2300_150_1,36.99,18.49,50,CDN,2020-04-27,23:33
Disco Elysium,https://store.steampowered.com/app/632470/Disco_Elysium/?snr=1_7_7_2300_150_1,45.49,34.11,25,CDN,2020-04-27,23:33
HYPERCHARGE: Unboxed,https://store.steampowered.com/app/523660/HYPERCHARGE_Unboxed/?snr=1_7_7_2300_150_1,22.79,17.09,25,CDN,2020-04-27,23:33
FINAL FANTASY XII THE ZODIAC AGE,https://store.steampowered.com/app/595520/FINAL_FANTASY_XII_THE_ZODIAC_AGE/?snr=1_7_7_2300_150_1,66.99,33.49,50,CDN,2020-04-27,23:33
Turmoil,https://store.steampowered.com/app/361280/Turmoil/?snr=1_7_7_2300_150_1,10.99,2.20,80,CDN,2020-04-27,23:33
Borderlands 2,https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_2300_150_1,21.99,5.49,75,CDN,2020-04-27,23:33
Aliens vs. Predator™,https://store.steampowered.com/app/10680/Aliens_vs_Predator/?snr=1_7_7_2300_150_1,16.99,3.39,80,CDN,2020-04-27,23:33
Phantom Doctrine,https://store.steampowered.com/app/559100/Phantom_Doctrine/?snr=1_7_7_2300_150_1,45.49,9.10,80,CDN,2020-04-27,23:33
Frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_2300_150_1,33.99,13.60,60,CDN,2020-04-27,23:33
Total War Saga: THRONES OF BRITANNIA,https://store.steampowered.com/app/712100/Total_War_Saga_THRONES_OF_BRITANNIA/?snr=1_7_7_2300_150_1,47.99,16.31,66,CDN,2020-04-27,23:33
